title,authors,description,category,averageRating,ratingsCount,thumbnail
Stop the Clock,Carolyn Keene,"When the beautiful clock of the Mahoney Library is stolen, it is up to Nancy to solve the mystery.",Juvenile Fiction,4,3,http://books.google.com/books/content?id=fTYXLPR6UD0C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Murder is Easy,Agatha Christie,,Mystery,,,
Where Are You Now?,Mary Higgins Clark,"Driven to solve the mystery of an older sibling's disappearance ten years earlier, young lawyer Carolyn MacKenzie investigates a bizarre community of people who choose to disappear, embarking on a quest with life-threatening consequences.",Fiction,,,http://books.google.com/books/content?id=rsZzm_XyQaEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Dead Man's Folly,Agatha Christie,,Mystery,,,
"Good Morning, Midnight",Reginald Hill,"Pascoe's investigation into the locked-room suicide of a young man, a suicide that mirrors that of his father ten years earlier, is hampered by Dalziel, who has appointed himself the young man's stepmother's champion.","Dalziel, Andrew (Fictitious character)",,,http://books.google.com/books/content?id=Dgiiy3k7TDUC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Moby Dick. Con CD,Herman Melville,"In Melville's classic tale of revenge, Ishmael tells his story of becoming a whaler on the ""Pequod.""",Education,,,http://books.google.com/books/content?id=a8CJNAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Caribbean Mystery,Agatha Christie,,Caribbean Area,,,
Brother Odd,Dean Ray Koontz,"Loop me in, odd one.The words, spoken in the deep of night by a sleeping child, chill the young man watching over her. For this was a favorite phrase of Stormy Llewellyn, his lost love, and Stormy is dead, gone forever from this world. In the haunted halls of the isolated monastery where he had sought peace, Odd Thomas is stalking spirits of an infinitely darker nature Through twoNew York Timesbestselling novels Odd Thomas has established himself as one of the most beloved and unique fictional heroes of our time. Now, wielding all the power and magic of a master storyteller at the pinnacle of his craft, Dean Koontz follows Odd into a singular new world where he hopes to make a fresh beginning—but where he will meet an adversary as old and inexorable as time itself. St. Bartholomew’s Abbey sits in majestic solitude amid the wild peaks of California’s high Sierra, a haven for children otherwise abandoned, and a sanctuary for those seeking insight. Odd Thomas has come here to learn to live fully again, and among the eccentric monks, their other guests, and the nuns and young students of the attached convent school, he has begun to find his way. The silent spirits of the dead who visited him in his earlier life are mercifully absent, save for the bell-ringing Brother Constantine and Odd’s steady companion, the King of Rock 'n' Roll. But trouble has a way of finding Odd Thomas, and it slinks back onto his path in the form of the sinister bodachs he has met previously, the black shades who herald death and disaster, and who come late one December night to hover above the abbey’s most precious charges. For Odd is about to face an enemy who eclipses any he has yet encountered, as he embarks on a journey of mystery, wonder, and sheer suspense that surpasses all that has come before. From the Hardcover edition.",Abandoned children,4.5,4,http://books.google.com/books/content?id=HuWP4w41tOEC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Fractured,Karin Slaughter,"Slaughter, one of the best crime novelists in America (""Washington Post""), brings back the characters from her ""New York Times""-bestselling work ""Triptych"" for a shocking showdown of heart-stopping suspense.",Abused wives,,,http://books.google.com/books/content?id=JU8-5kjulhAC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Crooked House,Agatha Christie,"Shakespeare Survey is a yearbook of Shakespeare studies and production. Since 1948 Survey has published the best international scholarship in English and many of its essays have become classics of Shakespeare criticism. Each volume is devoted to a theme, or play, or group of plays; each also contains a section of reviews of the previous year's textual and critical studies and of major British performances. The books are illustrated with a variety of Shakespearean images and production photographs. The current editor of Survey is Peter Holland. The first eighteen volumes were edited by Allardyce Nicoll, numbers 19-33 by Kenneth Muir and numbers 34-52 by Stanley Wells. The virtues of accessible scholarship and a keen interest in performance, from Shakespeare's time to our own, have characterized the journal from the start. For the first time, numbers 1-50 are being reissued in paperback, available separately and as a set.",,,,
Confessor,Terry Goodkind,Fantasy-roman.,Fiction,,,http://books.google.com/books/content?id=mMtlaChk3qwC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Blood Price,Tanya Huff,"""Blood Ties, now an original series on Lifetime""--Cover.",Fiction,,,http://books.google.com/books/content?id=Xy-JEAAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The labours of Hercules,Agatha Christie,,Mystery,,,
The Girl on the Train,Paula Hawkins,"Rachel catches the same commuter train every morning. She even feels she knows the people who live in one of the houses. 'Jess and Jason', she calls them. Their life - as she sees it - is perfect. If only Rachel could be that happy.And then she sees something shocking. It's only a minute until the train moves on, but it's enough. Now everything's changed. Now Rachel has a chance to become a part of the lives she's only watched from afar. Now they'll see: she's much more than just the girl on the train...",Commuters,,,
Purr-fect Crime,"Martin Harry Greenberg, Carol-Lynn Rossel Waugh, Isaac Asimov","Unique collection of murder crimes muse of humanity's ancient companion, the cat.",Fiction,,,http://books.google.com/books/content?id=kbii-UpExuMC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Ordeal by Innocence,Agatha Christie,"When Jacko Argyle, deceased, was absolved of the murder of his mother, suspicion was shifted to the other surviving members of the household. Mrs. Argyle had been a peculiarly domineering woman with a considerable fortune at her disposal, and motives were not difficult for Superintendent Huish to discover. But who in the little family circle was the guilty one? And which were the innocent?",Detective and mystery stories,,,
The Full Cupboard of Life,Alexander McCall Smith,"Mma Ramotswe is still engaged to Mr J.L.B. Matekoni. She wonders when a day for the wedding will be named, but she is anxious to avoid putting too much pressure on her fiance. For he has other things on his mind - notably a frightening request made of him by Mma Potokwani.",Botswana,,,http://books.google.com/books/content?id=OtC6QgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hallowe'en Party,Agatha Christie,,,,,
Bitter Medicine,Sara Paretsky,"Chicago private eye V.I. Warshawski knows from the start that Consuelo Alvarado's baby is trouble. Consuelo is sixteen. Diabetic. And the daughter of a friend. When she goes into labor too early, even V.I.'s wild drive to get her to the hospital can't save either Consuelo or her child. Soon V.I. is investigating possible malpractice at the emergency room--and falling for a doctor who works there. Mixing business and love is always bad medicine, but V.I. finds herself listening to her heart, not her head. And when a brutal murder and the violent destruction of a women's clinic put her at the center of a very dirty conspiracy, justice may be the only remedy for a hurt that cuts deep...and chills right to the bone....",Fiction,,,http://books.google.com/books/content?id=y_RQBcvcHKYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Hannibal,Thomas Harris,"WORTH THE WAIT. . . Harris's writing bears the hallmarks of honed perfection. . . this piece of literature is popular fiction only in the sense that it will sell. And sell. . . LOOK NO FURTHER FOR THE CHILLER OF THE YEAR' Peter Millar, The times 'Insanely",Dangerously mentally ill,,,http://books.google.com/books/content?id=ci_AP9Fg-V0C&printsec=frontcover&img=1&zoom=1&source=gbs_api
Longshot,Dick Francis,"""Fast-paced, meticulously plotted...Nobody sets up a mystery better than Dick Francis."" SAN FRANCISCO CHRONICLE Travel writer John Kendall didn't think he was doing anything too out of the ordinary when he tramped off to rural England for an interview with a successful race horse trainer. Soon enough, however, Kendall realizes that completing the book will be tricky at best. In fact, the perils described in his survival manuals pale next to the dangers in rural England.... Selected by the Literary Guild, the Mystery Guild, and Doubleday Book Club",Fiction,,,http://books.google.com/books/content?id=Q6ME-WTqB7IC&printsec=frontcover&img=1&zoom=1&source=gbs_api
Call for the Dead,John Le Carré,"Featuring an introduction by the author, this is a paperback reissue of the debut novel that introduces one of the most popular characters in espionage fiction: George Smiley. Copyright © Libri GmbH. All rights reserved.",Fiction,4,1,http://books.google.com/books/content?id=NR-oAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
The Art Thief,Noah Charney,"Rome: In the small Baroque church of Santa Giuliana, a magnificent Caravaggio altarpiece disappears without a trace in the middle of the night. Paris: In the basement vault of the Malevich Society, curator Genevieve Delacloche is shocked to discover the disappearance of the Society's greatest treasure, White-on-White by Suprematist painter Kasimir Malevich. London: At the National Gallery of Modern Art, the museum's latest acquisition is stolen just hours after it was purchased for more than six million pounds. In The Art Thief, three thefts are simultaneously investigated in three cities, but these apparently isolated crimes have much more in common than anyone imagines. In Rome, the police enlist the help of renowned art investigator Gabriel Coffin when tracking down the stolen masterpiece. In Paris, Genevieve Delacloche is aided by police inspector Jean-Jacques Bizot, who finds a trail of bizarre clues and puzzles that leads him ever deeper into a baffling conspiracy. In London, inspector Harry Wickenden of Scotland Yard oversees the museum's attempts to ransom back its stolen painting, only to have the masterpiece's recovery deepen the mystery even further.A dizzying array of forgeries, overpaintings, and double-crosses unfolds as the story races through auction houses, museums, and private galleries -- and the secret places where priceless works of art are made available to collectors who will stop at nothing to satisfy their hearts' desires. Full of fascinating art-historical detail, crackling dialogue, and a brain-teasing plot, Noah Charney's debut novel is a sophisticated, stylish thriller, as irresistible and multifaceted as a great work of art.",Art thefts,,,http://books.google.com/books/content?id=o_NdPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
Second Wind,Dick Francis,A hurricane-chasing trip to the Caribbean spells danger for English meteorologist Perry Stuart as a terrifying accident during his holiday excursion reveals deadly secrets that could get him killed.,Fiction,,,http://books.google.com/books/content?id=Ok-ALitAmncC&printsec=frontcover&img=1&zoom=1&source=gbs_api
A Pocket Full of Rye,Agatha Christie,"BBC Radio 4 full-cast dramatisation starring June Whitfield as the deceptively mild spinster sleuth. A Pocket Full of Rye; With only one bizarre clue to the agonizing death of a wealthy financier, Miss Marple must unravel a mystery hidden in a child's nursery rhyme that is to prove one of the strangest cases of her life.",Fiction,,,
Secret Seven Mystery,Enid Blyton,"A girl runs away from home - and it's up to the Seven to find her! Jack's little sister Susie is up to her usual tricks - but she can't put the Seven off the trail of clues! Can they track down Elizabeth, and discover who stole the money from her school?",Mystery,,,
The Thirteen Problems,Agatha Christie,,Large type books,,,
While My Pretty One Sleeps,Mary Higgins Clark,Gossip columnist Ethel Launbston is murdered and boutique owner Neeve Kearny is plunged into a tangled web not realizing that her own life is threatened.,Fiction,,,http://books.google.com/books/content?id=kACVG3_d3jYC&printsec=frontcover&img=1&zoom=1&source=gbs_api
